,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Transaction year,Transaction price
16877,491-38-002,37.3335226,-121.8004815,"2941 Glen Como WY San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2010,430522
16878,491-38-003,37.3334628,-121.8006856,"2935 Glen Como WY San Jose, CA 95148",17028,16,7200,0,1989,2113,9,4,2.5,95148,800000,475,2009,83119
16879,491-38-005,37.3335542,-121.8009991,"2464 Glen Fox CT San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2012,445633
16880,491-38-006,37.333791,-121.8011152,"2440 Glen Fox CT San Jose, CA 95148",17028,16,7200,0,1985,2533,11,5,3.0,95148,800000,475,2013,164604
16881,491-38-007,37.3338234,-121.8009109,"2428 Glen Fox CT San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2013,118116
16882,491-38-012,37.3343013,-121.8010045,"2427 Glen Fox CT San Jose, CA 95148",17028,16,5616,0,1984,2533,11,5,3.0,95148,800000,475,2012,346322
16883,491-38-013,37.3342542,-121.8011982,"2433 Glen Fox CT San Jose, CA 95148",17028,16,5985,0,1984,2314,9,4,3.0,95148,800000,475,2002,78745
16884,491-38-014,37.334164,-121.8013867,"2439 Glen Fox CT San Jose, CA 95148",17028,16,5928,0,1984,2206,9,4,2.0,95148,800000,475,2011,351733
16885,491-38-015,37.3340544,-121.8015902,"2445 Glen Fox CT San Jose, CA 95148",17028,16,8175,0,1984,2946,10,4,2.5,95148,800000,475,2015,464418
16886,491-38-016,37.3338803,-121.8016658,"2451 Glen Fox CT San Jose, CA 95148",17028,16,8880,0,1984,2533,11,5,3.0,95148,800000,475,2008,424412
16887,491-38-018,37.3335332,-121.8015175,"2463 Glen Fox CT San Jose, CA 95148",17028,16,6178,0,1984,2113,9,4,2.5,95148,800000,475,2014,95642
16888,491-38-019,37.3333354,-121.8014323,"2917 Glen Como WY San Jose, CA 95148",17028,16,6700,0,1984,3017,10,5,3.0,95148,800000,475,1985,87497
16889,491-38-021,37.3332562,-121.8018223,"2905 Glen Como WY San Jose, CA 95148",17028,16,7100,0,1984,2533,11,5,3.0,95148,800000,475,2009,73489
16890,491-38-029,37.3343403,-121.8016604,"2962 Glen Alden CT San Jose, CA 95148",17028,16,6000,0,1982,2946,10,4,2.5,95148,800000,475,2012,365802
16891,491-38-030,37.3344569,-121.8014791,"2968 Glen Alden CT San Jose, CA 95148",17028,16,6000,0,1982,2206,9,4,2.0,95148,800000,475,1995,149368
16892,491-38-032,37.3346037,-121.8011019,"2980 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,2193,9,4,2.5,95148,800000,475,2013,490201
16893,491-38-033,37.3346581,-121.8008795,"2988 Glen Alden CT San Jose, CA 95148",17028,16,10086,0,1993,2606,10,5,3.0,95148,800000,475,2011,376301
16894,491-38-039,37.3348438,-121.8017006,"2969 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,2606,10,5,3.0,95148,800000,475,1993,164308
16895,491-38-040,37.3347317,-121.8018899,"2963 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,2239,9,4,2.0,95148,800000,475,2003,185234
16896,491-38-041,37.3346411,-121.8020406,"2957 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,2606,10,5,3.0,95148,800000,475,2009,360904
16897,491-38-042,37.3345061,-121.8022492,"2951 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,2606,10,5,3.0,95148,800000,475,2009,357223
16898,491-38-043,37.3344088,-121.802371,"2945 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,2193,9,4,2.5,95148,800000,475,2013,175731
16899,491-38-044,37.3342832,-121.8025569,"2939 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,3119,9,4,2.5,95148,800000,475,2008,381735
16900,491-38-045,37.3341757,-121.8026684,"2933 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1993,2606,10,5,3.0,95148,800000,475,2003,175731
16901,491-38-050,37.3337639,-121.8020698,"2454 Glen Haig WY San Jose, CA 95148",17028,16,7405,0,1985,2206,9,4,2.0,95148,800000,475,2016,550000
16902,491-38-051,37.3339101,-121.8022611,"2932 Glen Alden CT San Jose, CA 95148",17028,16,6098,0,1993,2193,9,4,2.5,95148,800000,475,2016,164012
16903,491-38-052,37.3340046,-121.8021341,"2938 Glen Alden CT San Jose, CA 95148",17028,16,7405,0,1993,2606,10,5,3.0,95148,800000,475,1993,175731
16904,491-39-002,37.3333727,-121.8035263,"2459 Glen Angus WY San Jose, CA 95148",17028,16,7200,0,1985,2206,9,4,2.0,95148,800000,475,2005,351303
16905,491-39-003,37.3332329,-121.8033549,"2463 Glen Angus WY San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,2012,199505
16906,491-39-004,37.3331041,-121.8032431,"2467 Glen Angus WY San Jose, CA 95148",17028,16,7200,0,1985,2860,10,5,3.0,95148,800000,475,1985,68619
16907,491-39-011,37.3320857,-121.8031277,"2881 Glen Ascot WY San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,815000,478,2017,396671
16908,491-39-014,37.3319562,-121.8037751,"2869 Glen Ascot WY San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,2015,68619
16909,491-39-015,37.3315468,-121.8037408,"2866 Glen Ascot WY San Jose, CA 95148",17028,16,6000,0,1993,3119,9,4,2.5,95148,800000,475,2016,267378
16910,491-39-017,37.3316334,-121.8033522,"2874 Glen Ascot WY San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,2000,222477
16911,491-39-018,37.3316658,-121.8031394,"2878 Glen Ascot WY San Jose, CA 95148",17028,16,7200,0,1985,2533,11,5,3.0,95148,800000,475,2017,249693
16912,491-39-020,37.331744,-121.8027478,"2886 Glen Ascot WY San Jose, CA 95148",17028,16,7200,0,1985,2533,11,5,3.0,95148,800000,475,2009,68619
16913,491-39-021,37.3317724,-121.8025465,"2890 Glen Ascot WY San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,1992,68619
16914,491-39-024,37.3322455,-121.8023668,"2492 Glen Angus WY San Jose, CA 95148",17028,16,7200,0,1985,2227,9,4,2.5,95148,800000,475,2009,250246
16915,491-39-032,37.3335162,-121.8027557,"2914 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,2013,399798
16916,491-39-033,37.3336281,-121.8025935,"2920 Glen Alden CT San Jose, CA 95148",17028,16,7200,0,1985,2533,11,5,3.0,95148,800000,475,2011,380293
16917,491-39-035,37.3332711,-121.8023244,"2461 Glen Haig WY San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,2011,82345
16918,491-39-036,37.3331033,-121.8022892,"2465 Glen Haig WY San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2007,120293
16919,491-39-042,37.332153,-121.801957,"2489 Glen Haig WY San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,1991,111343
16920,491-39-043,37.3319898,-121.801922,"2493 Glen Haig WY San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2016,73767
16921,491-39-045,37.3322147,-121.8012761,"2940 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2013,207880
16922,491-39-046,37.3322669,-121.8010674,"2946 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2533,11,5,3.0,95148,800000,475,2017,77201
16923,491-39-048,37.332336,-121.8006728,"2958 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2533,11,5,3.0,95148,800000,475,2009,126722
16924,491-39-050,37.3324003,-121.8002459,"2970 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2541,9,4,2.5,95148,800000,475,2000,259533
16925,491-39-051,37.3325472,-121.8000983,"2976 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2013,339394
16926,491-39-052,37.3327576,-121.8001535,"2975 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2533,11,5,3.0,95148,800000,475,2002,319464
16927,491-39-053,37.3328454,-121.8003883,"2969 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2113,9,4,2.5,95148,800000,475,1999,196521
16928,491-39-056,37.332691,-121.8010055,"2951 Glen Crow CT San Jose, CA 95148",17028,16,7200,0,1985,2946,10,4,2.5,95148,800000,475,2010,122545
16929,491-39-061,37.3328716,-121.8014656,"2912 Glen Como WY San Jose, CA 95148",17028,16,6000,0,1985,2946,10,4,2.5,95148,800000,475,2004,78053
16930,491-39-065,37.3330726,-121.8006186,"2936 Glen Como WY San Jose, CA 95148",17028,16,6000,0,1985,2113,9,4,2.5,95148,800000,475,2014,486606
16931,491-39-066,37.3331064,-121.8004078,"2942 Glen Como WY San Jose, CA 95148",17028,16,6000,0,1985,2946,10,4,2.5,95148,800000,475,1985,83119
16932,491-39-067,37.333149,-121.8001694,"2948 Glen Como WY San Jose, CA 95148",17028,16,6000,0,1985,2533,11,5,3.0,95148,800000,475,2003,150680
16933,491-40-016,37.3278218,-121.7993608,"2744 Britt CT San Jose, CA 95148",17028,16,11352,0,1985,1501,7,3,2.0,95148,800000,475,2005,308711
16934,491-40-018,37.3279702,-121.7985326,"2760 Britt CT San Jose, CA 95148",17028,16,6000,0,1985,1501,7,3,2.0,95148,815000,478,2014,68619
16935,491-40-019,37.3281322,-121.7985278,"2764 Britt CT San Jose, CA 95148",17028,16,6000,0,1985,1407,7,3,2.0,95148,800000,475,2015,463200
16936,491-40-020,37.3283163,-121.7986315,"2763 Britt CT San Jose, CA 95148",17028,16,6000,0,1985,1545,8,4,2.0,95148,800000,475,1994,117149
16937,491-40-022,37.3282897,-121.7990598,"2755 Britt CT San Jose, CA 95148",17028,16,6000,0,1985,1545,8,4,2.0,95148,800000,475,2014,466860
16938,491-40-023,37.3282699,-121.7992637,"2751 Britt CT San Jose, CA 95148",17028,16,6000,0,1985,1501,7,3,2.0,95148,800000,475,2007,149368
16939,491-40-024,37.3282022,-121.7994533,"2747 Britt CT San Jose, CA 95148",17028,16,6000,0,1985,1545,8,4,2.0,95148,800000,475,1991,70335
16940,491-40-025,37.3281727,-121.7996724,"2743 Britt CT San Jose, CA 95148",17028,16,6000,0,1985,1501,7,3,2.0,95148,800000,475,1998,158500
16941,491-40-029,37.3280078,-121.8004625,"2727 Britt WY San Jose, CA 95148",17028,16,6000,0,1985,1545,8,4,2.0,95148,800000,475,2007,476300
16942,491-40-032,37.3278978,-121.8010712,"2713 Britt WY San Jose, CA 95148",17028,16,6000,0,1985,1501,7,3,2.0,95148,800000,475,2000,225128
16943,491-40-033,37.3278452,-121.80127,"2709 Britt WY San Jose, CA 95148",17028,16,6000,0,1985,1407,7,3,2.0,95148,800000,475,2013,68619
16944,491-40-034,37.327808,-121.801465,"2705 Britt WY San Jose, CA 95148",17028,16,6000,0,1985,1645,8,4,2.0,95148,800000,475,1998,167842
